text,intent,noise_level,split,is_hard_negative
Hi warna lain rajut ada ??,product_stock,low,train,
Kak mau tanya pesanan saya dengan nomor order-123 sudah diproses belum ya,order_status,clean,train,
Metode pembayaran apa aja,payment_info,low,train,
availability wool,product_stock,clean,train,
halo mau min tanya dong pesanannya saya nomor nomor 888 itu udah sampe mana ya,order_status,medium,train,
btw cuaca hari ini gmn ??,out_of_scope,low,train,
Eh brp kaus kaki campuran wol arctic warmth dong,product_price,clean,train,
bahan campuran apa,product_description,low,train,
tangan terbut dari apa,product_description,medium,train,
Mau nanya fitur campuran apa aja,product_description,low,train,
admin bantuin dong please,out_of_scope,low,train,True
duit kupluk unisex rajut arctic cozy,product_price,high,train,
min mau bayar pake cimb bs,payment_info,medium,train,
bisa kredit ga sih,payment_info,high,train,
Arctic Cozy Knit Unisex Beanie berapa harganya ya,product_price,high,train,
harganya arctic frost winter accessories bundle brp,product_price,clean,train,
biaya sarung tangan musim dingin arctic layar sentuh,product_price,clean,train,
kok lama bgt orderan ord-555,order_status,low,train,
mas gimana pesanannya dong,order_status,clean,train,True
hai admin bisa cek pesanan #777 ga,order_status,low,train,
info produk jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_description,low,train,
Bang metode payment deh,payment_info,high,train,
admin aksesroi masih ada ya kak,product_stock,medium,train,
Kak cek stk omniheat men's solid hooded puffer jacket-blue-green-l,product_stock,high,train,
btw mau tanya buat pembayarannya bsa pakai apa metode aja ya makasih,payment_info,high,train,
Kalo mau bayar pake gopay bisa ga min,payment_info,high,train,
Pria kosong ga,product_stock,low,train,
Stock aksesori berapa,product_stock,medium,train,
size chart Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M,product_description,medium,train,
kamu bot ya,out_of_scope,clean,train,
Availability wool,product_stock,clean,train,
aSrung Tangan Musm Dingin Arctic Layar Sentuh import atau lokal,product_description,low,train,
halo apa kabar tolong,out_of_scope,high,train,
cek pesanan pesanan 111,order_status,low,train,
Arctic Warmth Wool Blend Socks rdy g,product_stock,high,train,
Sis mau tau cost kaus kaki campuran wol arctic warmth min,product_price,high,train,
Cancel pesanan,out_of_scope,medium,train,
Cozy brapa duit,product_price,medium,train,
ad syal g,product_stock,low,train,
Jaket puffer pria omniheat solid bertudung-biru-kuning-m sold uot?,product_stock,medium,train,
status pengiriman 1,order_status,low,train,
brg gw 1 dmn,order_status,medium,train,
Harga peuh yang ini berapah,product_price,low,train,
hi omniheat men's solid hooded puffer jacket-blue-green-m gmn sih thanks,product_description,high,train,
Bisa bayar sekarang,payment_info,clean,train,True
OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Yellow-L bagus ga,product_description,clean,train,
warna Kupluk Rajut Unisex Arctic Cozy ada apa aja,product_description,clean,train,
cek psnan #555,order_status,low,train,
Ganti ukuran,out_of_scope,low,train,
warmth waterproof ga,product_description,clean,train,
kak sarung tangan musim dingin arctic layar sentuh masih ada ga stoknya,product_stock,medium,train,
cek emm pesanan 1,order_status,high,train,
info lengkapnya,product_description,clean,train,True
spec kupluk,product_description,medium,train,
sis opsi bayar gitu apa ?,payment_info,low,train,
Ready hooded,product_stock,medium,train,
Metode bayar apa aja tolong,payment_info,medium,train,
ready puffer,product_stock,clean,train,
mau nanya fitur bertudung apa aja,product_description,low,train,
min tolong lacak order 123 dong,order_status,low,train,
review bertudung-biru-kuning-l,product_description,medium,train,
siapa kamu,out_of_scope,high,train,
Halo min annya mau bertudung-biru-hijau-l mas!h ready stock tidak ya,product_stock,high,train,
boleh tau harga paket aksesori musim dingin arctic frost tidak,product_price,medium,train,
lacak pesanan ord-555,order_status,low,train,
mau nanya fitur kaus apa aja,product_description,clean,train,
Mau tau orderan 67890 udahh sampe mana,order_status,low,train,
bang bayar lewat gitu mana tolong,payment_info,medium,train,
hai brapa ya harga bertudung-biru-kuning-l makasih,product_price,high,train,
admin harga satuan bertudung-biru-hijau-l,product_price,clean,train,
scarf gmn sih,product_description,low,train,
kak jacket masih ada ga stoknya,product_stock,clean,train,
halo min mau tanya dong pesanannya saya nomor ORD-999 itu udah sampai mana ya,order_status,low,train,
mau tanya bisa bayar pakai cash tidak ya,payment_info,clean,train,
informasi lengkap kaus,product_description,clean,train,
selamat siang admin saya mau cek status pesanan nomor ord-001,order_status,low,train,
spesifikasi omniheat men's solid hooded pufer jacket,product_description,low,train,
min berapaan warmth ?,product_price,high,train,
Mba jaket puffer pria omniheat solid bertudung-biru-kuning-l msh ad?,product_stock,low,train,
pesanan #12345 udah sampai mana,order_status,clean,train,
Mau tuker ukuran,out_of_scope,low,train,
kak lowongan kerja ada ga please,out_of_scope,high,train,
permisi kak orderan saya yang 1 kok belum dateng,order_status,low,train,
Cek resi 1,order_status,clean,train,
Barang salah kkirimm,out_of_scope,medium,train,
hai pesanan 1 udah sampai mana sih,order_status,high,train,
Jaket puffer pria omniheat solid bertudung-biru-kuning-m brp duit,product_price,low,train,
Bang oniheat men's solid hooded puffer jacke-blue-green-m restock kapan ya kak,product_stock,medium,train,
mba drosphip bisa ga dong,out_of_scope,medium,train,
supprt gopay,payment_info,high,train,
sis kelebihan omniheat men's solid hooded puffer jacket-blue-yellow-l,product_description,medium,train,
halo min mau nanya aksesori masih ready stock tidak ya,product_stock,low,train,
hai udah berapa hari kok belum nyampe deh,order_status,low,train,
diskon jaket puffer pria omniheat solid bertudung-biru-kuning-m berapa persen,product_price,clean,train,
accessories per unit berapa,product_price,medium,train,
Cek resi ord001,order_status,low,train,
Cara bayar gimana,payment_info,clean,train,
Harga jacket-blue-green-l yang ini berapa,product_price,clean,train,
winter berapa harganya ya,product_price,low,train,
size l jaket puffer pria omniheat solid bertudung-biru-kuning-m ready,product_stock,clean,train,
mba permisi apakah stok OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Yellow-M masih tersedia makasih,product_stock,high,train,
Gan men's waet ga please,product_description,medium,train,
Bahan penuh apa,product_description,clean,train,
ini Arctic Cozy Knit Unisex Beanie harganya berapa,product_price,low,train,
harga jual bertudung-biru-kuning-l,product_price,low,train,
Arctiic cozy knit unisex baenie brp duit,product_price,low,train,
tarif hooded,product_price,low,train,
cozy mahal ga,product_price,medium,train,
bs loh tf ga,payment_info,medium,train,
permisi kak orderan saya yang ORD-001 kok belum dateng,order_status,clean,train,
Halo min mau nanya omniheat men's solid hooded puffer jacket-blue-green-l masih ready stock tidak ya,product_stock,high,train,
tolong bantu cek order saya nomor ORD123 ya,order_status,clean,train,
misi kisaran harga jaket puffer pria omniheat solid bertudung-biru-kuning-m pls,product_price,high,train,
btw pembayaran apa saja yang tersedia pls,payment_info,low,train,
Edit p5nan,out_of_scope,medium,train,
harga jual accessories,product_price,clean,train,
tammbah item ke pesanan,out_of_scope,low,train,
Bisa dana ga kak,payment_info,low,train,
Opsi pembayaran,payment_info,clean,train,
Pake cimb bs?,payment_info,high,train,
order gue pesanan 111 mana,order_status,low,train,
Berapaan sarung tangan musim dingin arctic llayar sentuh,product_price,medium,train,
Bos tolong jelasin tentang omniheat men's solid hooded puffer jacket-blue-green-l dong tolong,product_description,low,train,
bs ambil langsung ga,out_of_scope,medium,train,
Misi hrg arctic cozy knit unisex beanie brp ?,product_price,low,train,
Wholesale price,out_of_scope,medium,train,
biaya penuh,product_price,low,train,
mba mau tau lebih detail tentang Cozy Arctic Knit Unisex Beanie tolong,product_description,high,train,
sisa stok Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M,product_stock,clean,train,
Kak mau beli kaus masih ada stok ga,product_stock,clean,train,
Metode byr apa,payment_info,low,train,
admin bisa cek pesanan 123 ga,order_status,low,train,
Bos omniheat men's solid hooded puffer jacket ukurannya apa aja min,product_description,medium,train,
Tangan murah ga,product_price,medium,train,
dtl Arctic Warmth Wool Blend Socks,product_description,low,train,
gan mau bayar pake bayar di tempat ?,payment_info,low,train,
harga accessories yang berapa ini,product_price,high,train,
min cara pakai blend nih,product_description,clean,train,
mas pesanannya masih diproses ya min,order_status,medium,train,
permisi admin bs cek pesanannya ord123 ga nih,order_status,high,train,
cek stok penuh,product_stock,clean,train,
metode paymennt,payment_info,high,train,
bos kak bia bayar transfer bank ga thanks,payment_info,medium,train,
Barag rsuak,out_of_scope,medium,train,
jacket-blue-yellow-l msh sih ready,product_stock,medium,train,
gan ad prromo bertudung-birru-kuning-l ga ya,product_price,high,train,
Detail layar,product_description,medium,train,
misi alyar bgmn makasih,product_description,medium,train,
Sis ubah alamat pengiriman please,out_of_scope,medium,train,
hrg sentuh brp,product_price,clean,train,
min alamat toko dimana nih,out_of_scope,clean,train,
gan bisa pake va ga tolong,payment_info,low,train,
pesanan saya sudah diproses belum,order_status,low,train,
Halo min mau nanya stylish masih ready stock tidak ya,product_stock,clean,train,
btw Jaket Puffer Pria emm OmniHeat Solid Bertudung-Biru-Hijau-M bisa dicuci mesin sih,product_description,medium,train,
halo produk tiak kan sesuai ??,out_of_scope,high,train,
size l dingin ready,product_stock,clean,train,
range harga rajut,product_price,low,train,
hi stk jacket-bluee-yellow-l tolong,product_stock,high,train,
boleh tau harga omniheat men's solid hooded puffer jacket-blue-rgeen-m tidak,product_price,medium,train,
kelebihan omniheat men's solid hooded puffer jacket,product_description,clean,train,
kak bisa bayar dana ga,payment_info,medium,train,
misi warmth per unit berapa thanks,product_price,high,train,
btw permisi mau nanya harga untuk Jaket Puffer Pria OmniHeat Bertudung-Biru-Hijau-M Solid berapa ya tolong,product_price,medium,train,
Ada omniheat men's solid hooded puffer jacket-blue-yellow-l ga,product_stock,medium,train,
Brg #555 dmn,order_status,clean,train,
mssih available,product_stock,low,train,True
alamat toko dmana,out_of_scope,low,train,
Hai pembayaran tersedia apa nih aja makasih,payment_info,medium,train,
karakteristik omniheat men's solid hooded puffer jacket-blue-yellow-m,product_description,low,train,
info warmth,product_description,low,train,
hai harganya jacket-blue-yellow-l brp ya kak,product_price,high,train,
Eh paket mahal ga tolong,product_price,high,train,
byr pke apa makasih,payment_info,high,train,
berapa harga jacket-blue-yellow-l,product_price,medium,train,
omniheat men's solid hooded puffer bisa jacket-blue-greeen-l dibeli ga,product_stock,medium,train,
hooded kyk gmn,product_description,low,train,
Admin omniheat ready ga,product_stock,clean,train,
hai,out_of_scope,medium,train,
epnjelasan cozy,product_description,medium,train,
warmth seperti apa,product_description,low,train,
bisa ovo ga kak,payment_info,clean,train,
Barang rusak,out_of_scope,low,train,
gan selamat siang admin saya mau cek status pesanan nomor order-123 min,order_status,high,train,
Min stok jacket-blue-yellow-l masih ada,product_stock,low,train,
Campuran murah g,product_price,medium,train,
kapan tangan ready lagi please,product_stock,high,train,
syal import atau lokal,product_description,clean,train,
udah berapa hari kok belum nyampe,order_status,clean,train,
lokasi warehouse,out_of_scope,low,train,
bang min tolong lacak order 333 dong ?,order_status,low,train,
bertudung berapa duit,product_price,low,train,
hi mau refund thanks,out_of_scope,medium,train,
ada cicilan ga pls,payment_info,low,train,
cara perawatan jacket-blue-yellow-l,product_description,low,train,
mas admin jacket-blue-green-m dijual sih berapah please,product_price,medium,train,
bertudung-biru-kuning-l rdy g,product_stock,clean,train,
kecewa sm4 pelayanan,out_of_scope,low,train,
Avail4lbe payment,payment_info,low,train,True
min harga omniheat men's solid hooded puffer jacket-blue-green-m berapa,product_price,clean,train,
Jadi reseller gimana,out_of_scope,medium,train,
scarf in stock,product_stock,medium,train,
Harga tangan berapa,product_price,low,train,
Gan ad campuran g please,product_stock,medium,train,
btw cek dong pesanan id 7788 udah diproses belum makasih,order_status,low,train,
halo berapa hrg ya cozy thx,product_price,high,train,
status paket #12345,order_status,clean,train,
Permisi mau nanya harga untuk jacket berapa ya,product_price,medium,train,
cara perawatan omniheat men's solid hooded puffer jacket-blue-yellow-l,product_description,clean,train,
Blend seperti apa,product_description,low,train,
available payment,payment_info,clean,train,True
range harga syal,product_price,clean,train,
Brg 1 dmn,order_status,medium,train,
Min pake virtaul account bs?,payment_info,high,train,
Mau beli jacket-blue-green-m berapa harganya,product_price,low,train,
Admin paket aksesori musim dingin arctic frost tersedia ga sih,product_stock,medium,train,
kelebihan kaus,product_description,high,train,
kak kak mau beli kupluk masih ada stok ga min,product_stock,low,train,
Halo min mau tanya dong pesanan saya nomor 1 itu udah sampai mana ya,order_status,low,train,
biaya OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L,product_price,clean,train,
gan dimensi syal nih,product_description,medium,train,
Orderan hmm saya statusnya apa,order_status,medium,train,
Mas uang saya kapan dikembalikan sih,out_of_scope,medium,train,
Paket Aksesori Musim Dingin Arctic Frost habis blom,product_stock,medium,train,
Brp omniheat men's solid hooded puffer jacket-blue-green-m,product_price,clean,train,
kak barang tidak sesuai mau tukar ya kak,out_of_scope,low,train,
status order 1,order_status,clean,train,
udah dikirim blm ord-999,order_status,clean,train,
Mau refund,out_of_scope,low,train,
Pesanan saya sudah diproses belum,order_status,low,train,
berat kaus kaki campuran wol arctic warmth,product_description,clean,train,
Hai cod available ga please,payment_info,low,train,
Min harga bundle berapa,product_price,clean,train,
hai ada jaket puffer pria omniheat solid bertudung-biru-kuning-l ga thx,product_stock,medium,train,
mba min info lengkap Kaus Kak! Campuran Wol Arctic Warmmth dong sih,product_description,high,train,
Stock available arctic frost winter accessories bundle,product_stock,low,train,
mau kerja disini,out_of_scope,medium,train,
cost sentuh,product_price,medium,train,
min bisa return barang ga ??,out_of_scope,clean,train,
Pembayaran tersedia apa aja,payment_info,low,train,
misi deskripsi cozy ya kak,product_description,low,train,
berapa ya harga bundle,product_price,clean,train,
Stock puffer berapa,product_stock,medium,train,
bayar pake apa,payment_info,clean,train,
mau tanya apakah men's masih tersedia stoknya,product_stock,low,train,
ready bayar,payment_info,clean,train,True
produk tidak sesuai,out_of_scope,clean,train,
Mau tau orderan 12345 udah sampe mana,order_status,clean,train,
Brg gw ord-999 dmn,order_status,clean,train,
Price syal,product_price,low,train,
bsa kredit ga,payment_info,low,train,
orderanan saya statusnya apa,order_status,high,train,
penjelasan bundle,product_description,clean,train,
OmniHeat Men's Solid Hooded Puffer Jacket masih ada,product_stock,clean,train,
order gue mana #12345,order_status,medium,train,
min min info lengkap warmmth dong ya kak,product_description,medium,train,
Ada kan cicilan ga,payment_info,medium,train,
ketersediaan bliss,product_stock,low,train,
halo bisa pake bni ga ya kak,payment_info,medium,train,
Sis batalkan order deh,out_of_scope,low,train,
Permisi warna kupluk ada apa aja ya kak,product_description,high,train,
Aksesori msh ad?,product_stock,low,train,
Proses refund brp lama,out_of_scope,medium,train,
Btw kamu bot ya thanks,out_of_scope,high,train,
bang harga kupluk rajut unisex arctic cozy berapa ?,product_price,medium,train,
accessories import atau lokal,product_description,clean,train,
cek status 333,order_status,high,train,
mau tanya untuk pembayarannya bsa pakai metod3 apa ya aja,payment_info,high,train,
stock available wool,product_stock,clean,train,
Bahan stylish apa,product_description,clean,train,
brg gw #777 dmn,order_status,clean,train,
btw jacket-blue-green-l harga rpomo berapa min,product_price,medium,train,
Permisi status pengiriman #777 sih,order_status,medium,train,
permisi mau tanya bisa bayar pakai transfer bank tidak ya nih,payment_info,medium,train,
gan paket saya sudah ssampai mnaa tolong,order_status,low,train,
arctic cozy knit unisex beanie bisa dibeli ga,product_stock,clean,train,
mau nanyaa fitur accessories apa aja,product_description,high,train,
min admin bisa cek pesanan 67890 ga pls,order_status,low,train,
Hai permisi kak orderan ya saya yang #555 kok belum dateng thx,order_status,medium,train,
Price omniheat men's solid hooded puffer jacket-blue-green-l,product_price,low,train,
kak stylish terbuat drai bahan apa ya,product_description,low,train,
Apa kabar,out_of_scope,low,train,
tenatng wool,product_description,low,train,
bang dropship b1sa ya ga nih,out_of_scope,medium,train,
info produk aksesori,product_description,low,train,
bos pesanan ord123 deh udah sampai mana ?,order_status,low,train,
mba mau tanya bisa bayar pakai gopay tidak ya ??,payment_info,medium,train,
stylish sold out?,product_stock,low,train,
ubah alamat pengiriman,out_of_scope,clean,train,
info produk kaus,product_description,low,train,
moniheat men's solid hoded puffer jacket anti air,product_description,high,train,
Bos pesanan saya sudah diproses belum ??,order_status,low,train,
Eh min info lengkap paket aksesori musim dingin arctic frost dong sih,product_description,clean,train,
Bos order gue pesanannya 111 mana thx,order_status,medium,train,
order saya kok lama,order_status,low,train,
OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Yellow-M ukurannya apa aja,product_description,clean,train,
admin tangan ready ga,product_stock,clean,train,
bahan bertudung-biru-kuning-l apa,product_description,clean,train,
garansi campuran,product_description,clean,train,
bos kak mau tanya pesanan saya dengan nomor #99 sudah diproses belum ya ya kak,order_status,medium,train,
Tambah item ke pesanannya,out_of_scope,low,train,
cara pembayaran gmn,payment_info,high,train,
mba barang cacat dong,out_of_scope,medium,train,
hai campuran per unit berapa dong,product_price,clean,train,
Layar restock kapan,product_stock,medium,train,
Rajut anti air please,product_description,low,train,
support virtual account,payment_info,clean,train,
gan material omniheat men's solid hooded puffer jacket-blue-yellow-m min,product_description,high,train,
dtl omniheat,product_description,low,train,
hai stok kaus kaki campuran wol arctic warmth ada pls,product_stock,clean,train,
cek gitu harga accessories,product_price,high,train,
metode byr apa,payment_info,clean,train,
mau tau ordran ORD-555 udah sampe mana,order_status,low,train,
stok omniheat mmen's solid hooded puffer jacket-blue-green-l size s,product_stock,high,train,
bisa kredit ga thanks,payment_info,low,train,
Permisi apakah stok puffer masih tersedia,product_stock,low,train,
Sis admin pembayaran apa aja yang diterima ?,payment_info,high,train,
arctic cozy knit unisex beanie in stock,product_stock,low,train,
hooded bisa dicuci mesin,product_description,low,train,
cek stok cozy,product_stock,medium,train,
harganya Arctic Frost Winter Accessories Bundle brp,product_price,clean,train,
Cara bayar gimanna,payment_info,medium,train,
Permisi kak orderan saya yang id 7788 kok belum dateng,order_status,low,train,
pesanan belum sampai juga,order_status,clean,train,
kok lama bgt order pesanan 111,order_status,clean,train,
bertudung-biru-kuning-l bagus ga,product_description,high,train,
kak mau beli warmth masih ada stok ga,product_stock,low,train,
order gue #555 mana,order_status,medium,train,
gan bisa pake ovo ga tolong,payment_info,low,train,
detail Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M,product_description,clean,train,
kak scarf terbuat dari bahan apa ya,product_description,clean,train,
kiriman ord001 dimana,order_status,low,train,
Hai mana nih orderan gw min,order_status,high,train,
bos kira kira omniheat men's solid hooded puffer jacket-blue-green-m itu hargnaya brpaa ya kak tolong,product_price,medium,train,
Cara perawatan paket,product_description,clean,train,
Pelayanan buruk,out_of_scope,low,train,
brg cacat,out_of_scope,medium,train,
Informasi lengkap omniheat men's solid hooded puffer jacket,product_description,medium,train,
Mau tau orderan nomor 888 udah sampe mana,order_status,low,train,
kupluk terbuat dari apa,product_description,low,train,
Pembayaran saja apa loh yang tersedia,payment_info,high,train,
jaket kyk gmn,product_description,medium,train,
jacket-blue-green-m berapa harganya ya,product_price,clean,train,
Halo kiar kira accessories itu hagranya berapa ya kak thanks,product_price,medium,train,
hooded mahal ga,product_price,medium,train,
sis kelebihan rajut tolong,product_description,medium,train,
terima bri gak,payment_info,high,train,
eh stok syal ada ya kak,product_stock,medium,train,
sis Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M berapa duit ya kak,product_price,medium,train,
alamat kantor,out_of_scope,low,train,
btw proses refund berapa lama please,out_of_scope,high,train,
mas order pesanan 111 udah diproses belum nih,order_status,medium,train,
omniheat men's solid hooded puffer jacket-blue-yellow-l restock kapan,product_stock,clean,train,
Cek resi onmor 888,order_status,medium,train,
eh kak boleh tau spesifikasi bliss tidak nih,product_description,low,train,
cancel pesanan,out_of_scope,medium,train,
Detail winter,product_description,low,train,
kak kak sarung tangan musim dingin arctic layar sentuh maih ada ga stoknya min,product_stock,low,train,
available bertudung-biru-hijau-l,product_stock,high,train,
bang jaket puffer pria omniheat hmm solid bertudung-biru-kuning-m restock kapan,product_stock,medium,train,
udah dikirim blm ORD-001,order_status,medium,train,
mau cek status pesanan,order_status,low,train,
cara perawatan jacket-blue-green-l,product_description,low,train,
Ganti ukruan,out_of_scope,medium,train,
Suppoort ew4llet ga,payment_info,low,train,
available transfer bank ga,payment_info,low,train,
permisi admin stylish ready ga dong,product_stock,clean,train,
OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Yellow-L mahal ga,product_price,medium,train,
hai admin bertudung-biru-hijau-l dijual berapa nih,product_price,high,train,
btw orderan #12345 ud nyampe blm dong,order_status,low,train,
bundle msh ad?,product_stock,medium,train,
Sis min stok jaket masih ada ya,product_stock,medium,train,
dropship bisa ga,out_of_scope,low,train,
Ready arctic frost winter accessories bundle,product_stock,low,train,
mau refund,out_of_scope,low,train,
Halo stylish mahal ga ??,product_price,high,train,
status pengiriman emm ORRD123,order_status,medium,train,
berapa harga kaus,product_price,clean,train,
detail wool,product_description,low,train,
Hi berat men's ya kak,product_description,high,train,
eh berat omniheat pls,product_description,high,train,
Orderan saya statusnya apa,order_status,low,train,
mana nih orderan gw,order_status,low,train,
tangan anti air,product_description,clean,train,
Stock available kupluk,product_stock,clean,train,
estimasi pengiriman order ORD-001,order_status,clean,train,
keleibhan Kupluk Rajut Unisex Arctic Cozy,product_description,high,train,
ad blend g,product_stock,clean,train,
Bisa transfer bank ga kak,payment_info,clean,train,
Min harga jaket puffer pria omniheat solid bertudung-biru-kuning-m berapa,product_price,medium,train,
hai jacket-blue-yellow-l orgiinal ga,product_description,medium,train,
Harga jual omniheat men's solid hooded puffer jacket,product_price,high,train,
spec layar,product_description,low,train,
Uang saya kapan dikemblikan,out_of_scope,medium,train,
bang berapaan jaket puffer pria omniheat solid bertudung-biru-hijau-m thanks,product_price,low,train,
dingin kyk gmn,product_description,clean,train,
lacak pesanan nomor 888,order_status,low,train,
Ad eh kupluk rajut unisex arctic cozy g,product_stock,low,train,
eh kak bertudung terbuat dari bahan apa ya min,product_description,clean,train,
terima bayar di tempat tidak,payment_info,medium,train,
syal seperti apa,product_description,medium,train,
udah dikirim blm nomor 888,order_status,high,train,
stok kupluk size s,product_stock,clean,train,
admin pembayaran apa aja yang diterima,payment_info,low,train,
hai test pls,out_of_scope,high,train,
Olkasi wareehouse,out_of_scope,medium,train,
eh paket aksesori musim dingin arctic frost restock kapan makasih,product_stock,low,train,
Ada promo sarung tangan musim dingin arctic layar sentuh ga,product_price,low,train,
gan arctic cozy knit unisex beanie murah ga ?,product_price,medium,train,
gan dimensi paket aksesori musim dingin arctic frost tolong,product_description,medium,train,
permisi toolng jelsain tentang pria dong dong,product_description,medium,train,
permisi apakah stok layar masih tersedia,product_stock,high,train,
cek harga sentuh,product_price,medium,train,
Berapa ya harga puffer,product_price,clean,train,
brg ORD123 dmn,order_status,low,train,
Cozy msh ready,product_stock,clean,train,
Halo min tolong lacak order 1 dong makasih,order_status,clean,train,
campran kosong ga,product_stock,medium,train,
mba cek pesanan #99 ya kak,order_status,high,train,
mau tau orderan #777 udah sampe mana,order_status,clean,train,
info produk jacket-blue-green-l,product_description,clean,train,
Kak jaket puffer pria omniheat solid bertudung-biru-kuning-m harganya berapa ya,product_price,low,train,
kak jacket-blue-green-l terbuat dari bahan apa ya,product_description,low,train,
Sis ada cicilan ga min,payment_info,low,train,
Penjelasan bliss,product_description,low,train,
harga jual arctic cozy knit unisex beanie,product_price,low,train,
tangan msh ready,product_stock,low,train,
permisi maaf ganggu mau cek status orderan #555 dong min,order_status,high,train,
Sarung tangan musim dingin arctic layar sentuh kan brpan,product_price,medium,train,
tersedia winter ga,product_stock,clean,train,
wholesale price,out_of_scope,clean,train,
tracking nih pesanan #777,order_status,low,train,
range harra omniheat men's solid hooded puffer jacket-blue-green-m,product_price,medium,train,
mba pesanan saya sudah diproses belum makasih,order_status,high,train,
Cek status ord123,order_status,low,train,
cek status 1,order_status,clean,train,
min pe$nan gw ord-555 kmana min,order_status,high,train,
hrg Arctic Cozy Knit Unisex Beanie,product_price,low,train,
berapaan tangan,product_price,low,train,
harga satuan penuh,product_price,clean,train,
mas estimasi pengiriman order #555 sih,order_status,high,train,
kiriman 111 dimana,order_status,clean,train,
kellebihan ukpluk,product_description,high,train,
Available jacket,product_stock,high,train,
ada cicilan ga,payment_info,medium,train,
tukar barang,out_of_scope,clean,train,
Accept cicilan gak,payment_info,medium,train,
harganya paket aksesori musim dingni arctic frost brp,product_price,medium,train,
Arctic cozy knit unisex beanie in stock,product_stock,clean,train,
Ketersediaan sarung tangan musim dingin arctic layar sentuh,product_stock,clean,train,
Halo orderan id 7788 ud nyampe hmm blm deh,order_status,high,train,
bisa linkaja ga kak,payment_info,low,train,
Pesanan gw nomor 888 kemana,order_status,clean,train,
Lagi sale layar ga,product_price,clean,train,
Kapan ya kira-kira sampai,order_status,clean,train,
kapan pesanan ord-001 sampai,order_status,low,train,
kapan OmniHeat Solid Men'ss Hooded Puffer Jacket-Blue-Yellow-L ready lagi,product_stock,high,train,
Stok accessories ada,product_stock,low,train,
