text,intent,sample_type,noise_level
Harga dan stok arctic frost winter accessories,out_of_scope,ambiguous,clean
delivery kapan ??,order_status,hard_negative,medium
hai detail Paket Aksesori Musim Dingin Arctic Frost ya kak,product_description,keyword_based,low
Arctic bliss stylish winter scarf ready,product_stock,keyword_based,low
price jaket puffer pria omniheat solid bertudung-biru-hijau-m,product_price,keyword_based,medium
Hai recommended ga arctic bliss stylish winter scarf thanks,product_description,generic,medium
Min batalkan ordr pls,out_of_scope,keyword_based,high
Import atau lokal omniheat men's solid hooded puffer jacket,product_description,generic,medium
per pcs berapa,product_price,hard_negative,clean
terima cod,payment_info,generic,clean
admin mau kembalikan brg deh,out_of_scope,keyword_based,low
eh ada info peniriman 789 makasih,order_status,keyword_based,low
Misi review kupluk rajut unisex arctic cozy,product_description,generic,medium
hi accept gpoayy ya kak,payment_info,generic,medium
admin terus gmana min,out_of_scope,ambiguous,low
Gan bisa info spec pls,product_description,hard_negative,medium
hi bayar pake apa please,payment_info,keyword_based,low
kualitasnya gimana omniheat men's solid hooded puffer jacket-blue-green-l,product_description,keyword_based,clean
alamat toko dmana,out_of_scope,keyword_based,low
Kapan kirim pesanan,order_status,hard_negative,clean
bos KKupluk Rajut Unisex Arctic Cozy ad fitur apa makasih,product_description,keyword_based,medium
Kupluk rajut unisex arctic cozy awet ga,product_description,generic,medium
hi yang dibeli tadi pagi,order_status,generic,medium
masih jual Arctic Frost Winter Accessories Bundle,product_stock,generic,low
kena berapa Paket Aksesori Musim Dingin Arctic Frost,product_price,keyword_based,medium
support cicilan,payment_info,generic,low
ada warna apa OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-M,product_description,keyword_based,medium
Omniheat men's solid hooded puffer jacket-blue-green-l bisa dipakai untuk apa,product_description,keyword_based,clean
Ada ukuran apa kupluk rajut unisex arctic cozy,product_description,keyword_based,medium
Cek return,out_of_scope,hard_negative,clean
affordable ga Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M,product_price,generic,low
tahan lama ga jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_description,generic,clean
lacak oorder 12345,order_status,keyword_based,medium
gan kiriman gimanna pls,order_status,hard_negative,medium
kkasih tau harganya,product_price,hard_negative,low
Permisi sarung tangan musim dingin arctic layar sentuh brp ya kak,product_price,hard_negative,low
yang ini sisa berapa,product_stock,hard_negative,low
lacak order 123,order_status,keyword_based,low
Stoknya berapa,product_stock,hard_negative,low
halo ad ukuran apa kupluk rajut unisex arctic cozy please,product_description,keyword_based,high
Harga arctic frost winter accessories,product_price,hard_negative,clean
Itu gimana bahannya,product_description,hard_negative,medium
yang saya pesan kemarin itu,order_status,generic,clean
gan uang gue kpn dkembalikan ??,out_of_scope,keyword_based,medium
ini berapa ya,product_price,keyword_based,high
tahan lama ga OmniHeat Men's Solid Hooded Puffer Jacket,product_description,generic,clean
order 123 gimana statusnya,order_status,keyword_based,medium
syal musim dingin arctic bliss penuh gaya ad diskon ga,product_price,keyword_based,medium
Paket aksesori musim dingin arctic frost orgiinal ga,product_description,generic,high
admin harga Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M gimana ??,product_price,keyword_based,high
oke,out_of_scope,ambiguous,clean
cocok ga jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_description,generic,clean
Gan syal musim dingin arctic bliss penuh gaya bisa dibeli dong,product_stock,keyword_based,clean
yang dibeli tadi pagi,order_status,generic,clean
mau kerja disini,out_of_scope,keyword_based,low
kupluk rajut unisex arctic cozy berapa,product_price,hard_negative,clean
Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M bisa loh dibeli,product_stock,keyword_based,medium
ada toko offline,out_of_scope,keyword_based,low
arctic bliss stylish winter scarf bagus ga,product_description,generic,high
pake mandiri bisa,payment_info,generic,clean
Hi abis belum paket aksesori musim dingin arctic frost pls,product_stock,generic,low
Masih banyak ga kupluk rajut unisex arctic cozy,product_stock,generic,high
worth it ga beli jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_description,generic,clean
Ada stok syal musim dingin arctic bliss penuh gaya,product_stock,keyword_based,clean
order saya gimana,order_status,hard_negative,clean
asli ga sarung tangan musim dingin arctic layar sentuh,product_description,generic,clean
min gimana pesanan saya deh,order_status,hard_negative,clean
Arctic bliss stylish winter scarf bisa dipakai untuk apa,product_description,keyword_based,clean
Eh masih bisa dibeli arctic frost winter accessories ??,product_stock,generic,medium
Halo ready stock omniheat men's solid hooded puffer jacket-blue-green-m ya,product_stock,keyword_based,medium
per stok berapa,product_stock,hard_negative,clean
Lacak order ord-001,order_status,keyword_based,medium
Mau ready eh bayar,payment_info,keyword_based,low
info hrg omniheat men's slid hooded puffer jacket-blue-green-l,product_price,keyword_based,medium
permisi lagi diskon ga dong,product_price,generic,medium
bisa pake credit card ga,payment_info,keyword_based,clean
kak bisa info spec please,product_description,hard_negative,clean
min metode pembayaran apa aja pls,payment_info,keyword_based,low
bos biaya admin berapa pls,payment_info,keyword_based,low
harga Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M gimana,product_price,keyword_based,clean
gan kualitasnya gimana Kupluk Rajut eh Unisex Arctic Cozy thanks,product_description,keyword_based,medium
Asli ga omniheat men's solid hooded puffer jacket-blue-green-l,product_description,generic,clean
Syal Musim Dingin Arctic Bliss Penuh Gaya bisa dibeli,product_stock,keyword_based,clean
Gan yang ini sisa brp thanks,product_stock,hard_negative,low
Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M bisa dipakai untuk apa,product_description,keyword_based,medium
ada promo Kupluk Rajut Unisex Arctic Cozy,product_price,keyword_based,clean
min biaya admin berapa sih,payment_info,keyword_based,clean
admin OmniHeat Men's Solid Hooded Puffer Jacket mahal ga ya kak,product_price,generic,medium
gan harga omniheat men's solid hooded puffer jacket-blue-green-l gimana thanks,product_price,keyword_based,low
Bos lanjut ??,out_of_scope,ambiguous,low
Biisa bayar bri,payment_info,keyword_based,low
btw tersedia Arctic Frost Winter Accessories ga min,product_stock,keyword_based,medium
Permisi mau komplain thx,out_of_scope,keyword_based,medium
hai dimana ya,out_of_scope,ambiguous,low
Kak pake shopeepay bisa,payment_info,generic,low
ready kaus kaki campuran wol arctic warmth,product_stock,hard_negative,medium
Misi jaket puffer pria omniheat solid emm bertudung-biru-kuning-m brp,product_price,hard_negative,medium
ada opsi bri,payment_info,keyword_based,medium
Kupluk Rajut Unisex Arctic Cozy available,product_stock,hard_negative,medium
Ready ga jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_stock,keyword_based,clean
paket aksesori musim dingin arctci frost original ga,product_description,generic,medium
Bisa dapet sarung tangan musim dingin arctic layar sentuh,product_stock,keyword_based,low
hi kemahalan ga Arctic Frost Winter Accessories thx,product_price,generic,high
Mau tanya yang kemarin,order_status,generic,clean
yang kemarin gimana,order_status,hard_negative,clean
Admin uang aku kpn dikembalkan ??,out_of_scope,keyword_based,high
hai discontinue belum omniheat men's solid hooded puffer jacket-blue-green-m ??,product_stock,generic,clean
bos yang tadi sih,out_of_scope,ambiguous,low
Jaket Puffer Pria OminHeat Solid Bertudung-Biru-Kuning-L ad fitur apa,product_description,keyword_based,medium
info harga,product_price,hard_negative,clean
Hi info order nomor 123 dong,order_status,keyword_based,low
gan berapa harga paket aksesori musim dingin arctic frost min,product_price,keyword_based,low
Berapa lama lagi nyampe,order_status,keyword_based,low
murahan ga sarung tangan musim dingin arctic layar sentuh,product_price,generic,medium
Arctic Frost Winter Accessories Bundle awet ga,product_description,generic,medium
murahan ga OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L,product_price,generic,low
Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M sold out,product_stock,generic,medium
info harga jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_price,hard_negative,low
Ada sih opsi cod,payment_info,keyword_based,high
halo spesifikasi Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M,product_description,keyword_based,medium
OmniHeat Men's Solid Hooded Puffer Jacket aet ga,product_description,generic,high
Ada emm sale ga,product_price,keyword_based,medium
gimana,out_of_scope,ambiguous,clean
cancel pesanan,out_of_scope,keyword_based,clean
btw cek psnan #1 deh,order_status,keyword_based,high
Paket aksesori musim dingin arctic frost sold out,product_stock,generic,clean
prduk bdea sama gambar,out_of_scope,keyword_based,low
btw review sarung tangan musim diingin arctic layar sentuh ya kak,product_description,generic,high
masih jual Kupluk Rajut Unisex Arctic Cozy,product_stock,generic,medium
@sli ga Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M,product_description,generic,high
kak tracking psnan ??,order_status,hard_negative,medium
hai kapan ready bayar dong,payment_info,hard_negative,clean
trnsfer berapa,payment_info,keyword_based,medium
Kak deskripsi syal musim dingin arctic bliss penuh gaya makasih,product_description,keyword_based,medium
Misi yang kemarin udah dikirim belum ya kak,order_status,generic,high
Halo unitnya berapa min,product_stock,hard_negative,low
permisi support virtual account deh,payment_info,generic,medium
min tracking pesanan ORD-555 pls,order_status,keyword_based,medium
Arctic frost winter accessories bisa dibeli,product_stock,keyword_based,medium
bingung nih,out_of_scope,ambiguous,clean
Kapan ready kupluk rajut unisex arctic cozy,product_stock,hard_negative,clean
Btw stok sarung tangan musm dingin arctic layar sentuh ada,product_stock,keyword_based,high
stok berapa,product_stock,keyword_based,medium
murahan ga arctic frost winter accessories,product_price,generic,high
kaus kaki campuran wol giitu arctic warmth ada diskon ga,product_price,keyword_based,high
kena brp jaket puffer pria omniheat solid bertudung-biru-kuning-m,product_price,keyword_based,medium
min budget friendly ga sih,product_price,generic,medium
Ada ciclian ga pls,payment_info,keyword_based,high
ada opsi kartu kredit,payment_info,keyword_based,low
ready belum bayarnya,payment_info,hard_negative,clean
min sarung tangan musim dingin arctic layar sentuh bagus ga pls,product_description,generic,high
asli ga kaus kaki campuran wol arctic warmth,product_description,generic,low
info Paket Aksesori Musim Dingin Arctic Frost,product_description,keyword_based,clean
syal musim dingin arctic bliss penuh gaya awet ga,product_description,generic,high
pesanan brp lama sampai,order_status,keyword_based,low
hai murahan ga OmniHeat Men's Solid Hooded Puff3r aJcket-Blue-Green-M makasih,product_price,generic,high
min itu aja ?,out_of_scope,ambiguous,low
hi ada kabar orderan saya,order_status,keyword_based,medium
bos caranya giman4 dong,payment_info,generic,medium
harga dan stok Arctic Bliss Stylish Winter Scarf,out_of_scope,ambiguous,low
Btw dimana ??,out_of_scope,ambiguous,clean
bisa dicuci ga arctic frost winter accessories,product_description,keyword_based,low
bos pesanan rready kirim kapan min,order_status,keyword_based,high
kapan ready sarung tangan musim dingin arctic layar sentuh,product_stock,hard_negative,low
Kaus Kaki Campuran Wol Arctic Warmth ada diskon ga,product_price,keyword_based,medium
mau ready bayar,payment_info,keyword_based,low
eh transfer gimana sih,payment_info,keyword_based,medium
Misi price arctic frost winter accessories sih,product_price,keyword_based,medium
Mau kembalikan barang,out_of_scope,keyword_based,medium
mau tau harga,product_price,hard_negative,medium
stock brapa hrg brapa,out_of_scope,ambiguous,low
orderan aku gmana,order_status,keyword_based,medium
btw tahan lama ga Paket Aksesori Musim Dingin Arctic Frost dong,product_description,generic,medium
hi kasih tau specnya sih,product_description,hard_negative,medium
btw asli ga Kupluk Rajut Unisex AArctic Cozy ya,product_description,generic,high
ukuran Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M berapa,product_description,keyword_based,clean
kak program affiliate ya kak,out_of_scope,keyword_based,medium
murahan ga omniheta men's solid hooded puffer jacket-blue-green-l,product_price,generic,high
admin ada OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L thx,product_stock,hard_negative,medium
hi lanjut dong,out_of_scope,ambiguous,clean
info return,out_of_scope,hard_negative,clean
permisi ada promo Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M deh,product_price,keyword_based,medium
cocok ga Arctic Bliss Stylish Winter Scarf,product_description,generic,low
hi jelasin omniheat men's solid hooded puffer jacket-blue-green-m dong dong,product_description,generic,high
transfer berapa,payment_info,keyword_based,medium
arctic frost winter accessories ready,product_stock,keyword_based,clean
Caa refund gimnaa,out_of_scope,keyword_based,low
Spesifikasi paket aksesori musim dingin arctic frost,product_description,keyword_based,medium
Hemat ga arctic frost winter emm accessories bundle,product_price,generic,medium
Berapa harga omniheat men's solid hooded puffer jacket,product_price,keyword_based,medium
halo mmasih ya diproses ya thanks,order_status,generic,high
Mau refud ?,out_of_scope,keyword_based,low
Kak pembayaran ready thx,payment_info,keyword_based,low
Kena berapa omniheat men's solid hooded puffer jacket,product_price,keyword_based,low
berapa harga sarung tangan musim dingin arctic layar sentuh,product_price,hard_negative,clean
pesanan berapa lama sampai,order_status,keyword_based,medium
ada psi ovo,payment_info,keyword_based,low
kak berapa harga omniheat men's solid hooded puffer jacket-blue-green-l thx,product_price,keyword_based,medium
btw pesanan ready kirim kpn ya,order_status,keyword_based,medium
bisa bayar ovo,payment_info,keyword_based,medium
Jaket puffer pria omniheat solid bertudung-biru-kuning-m bisa dibeli,product_stock,keyword_based,clean
Info jaket puffer pria omniheat solid bertudung-biru-hijau-m,product_description,keyword_based,medium
ready transfer,payment_info,hard_negative,clean
Ino harga,product_price,hard_negative,low
Jadi reselleer gimana makasih,out_of_scope,keyword_based,medium
Omniheat men's solid hooded puffer jacket ready stock,product_stock,keyword_based,clean
cek pesanan 99,order_status,keyword_based,medium
pilihan apa saja,payment_info,generic,low
out of stock ga,product_stock,generic,low
ramah kantong ga Paket Aksesori Musim Dingin Arctic Frost,product_price,generic,medium
cek pesanan nomor 555,order_status,keyword_based,low
jadi reseller loh gimana,out_of_scope,keyword_based,low
Omniheat men's solid hooded puffer jacket gimana reviewnya,product_description,hard_negative,clean
harga arctic frost winter accessories,product_price,hard_negative,clean
hi info harga Paket loh Aksesori Musim iDnign Arctic Frost thx,product_price,keyword_based,high
stok Kupluk Rajut Unisex Arctic Cozy ada,product_stock,keyword_based,low
ada OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L ??,product_stock,hard_negative,clean
Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M gimana,product_description,keyword_based,medium
pesanan ready kirim kapan,order_status,keyword_based,clean
bisa return barang ga,out_of_scope,keyword_based,clean
bisa dapet kupluk rajut unisex arctic cozy,product_stock,keyword_based,medium
Ramah kantong ga sarung tangan musim dingin arctic layar sentuh,product_price,generic,clean
bisa dapet arctic bliss stylish winter scarf,product_stock,generic,low
ada stok kaus kaki campuran wol arctic warmth,product_stock,keyword_based,clean
lewat mana ??,payment_info,generic,medium
mau tau hrg,product_price,hard_negative,medium
bs return barang ga,out_of_scope,keyword_based,medium
Bisa dapet omniheat men's solid hooded puffer jacket-blue-green-m,product_stock,keyword_based,low
eh sip ??,out_of_scope,ambiguous,low
Hi ada info pengiriman ord-555 ya kak,order_status,keyword_based,high
bahan Kaus Kaki Campuran Wol Arctic Warmth apa,product_description,keyword_based,medium
ada promo pembayaran,payment_info,keyword_based,low
available kapan,product_stock,hard_negative,clean
omniheat men's solid hooded puffer jacket-blue-green-l habis belum,product_stock,generic,clean
Kecewa sama pelayanan,out_of_scope,keyword_based,clean
arctic frost winter accessories bundle ready sih,product_stock,keyword_based,low
deskripsi arctic bliss stylish winter scarf,product_description,keyword_based,clean
btw brgnya mana ya thx,order_status,generic,medium
Arctic Bliss Stylish Winter Scarf ada diskon ga,product_price,keyword_based,medium
alamat toko dimana pls,out_of_scope,keyword_based,clean
omniheat men's solid hooded puffer jacket-blue-green-l bisa dibeli,product_stock,keyword_based,low
btw Kaus Kaki Campuran Wol Arctic Warmth waterproof ga please,product_description,generic,low
omniheat menn'ss solid hooded puffer jacket-blue-green-l ready stock,product_stock,keyword_based,low
gmn paket aksesori musim dingin arctic frost,product_description,hard_negative,medium
cara bayar gimana,payment_info,keyword_based,clean
bos barang yang dipesan gimana ya kak,order_status,hard_negative,medium
Mau tau harga omniheat men's solid hooded puffer jacket,product_price,hard_negative,medium
bisa beli syal musim dingin arctic bliss penuh gaya,product_stock,keyword_based,low
Jaket puffer pria omniheat solid gitu bertudung-biru-kuning-m kaak gimana,product_description,generic,medium
kak terus gimana thx,out_of_scope,ambiguous,clean
ukuran jaket puffer pria omniheat solid bertudung-biru-hijau-m berapa,product_description,keyword_based,clean
hi barangnya gimana please,product_description,hard_negative,medium
Btw uang eh saya kpn dikembalikan please,out_of_scope,keyword_based,high
produk emm beda sama gambar,out_of_scope,keyword_based,low
Info harga sarung tangan musim dingin arctic layar sentuh,product_price,hard_negative,medium
Lewat apa bisa,payment_info,generic,low
admin arctic frost winter loh accessories bundle tinggal berapa dong,product_stock,keyword_based,medium
Hemat ga arctic frost winter accessories,product_price,generic,clean
Orderan ready kpn,order_status,hard_negative,low
Order #12345 brp hari lagi,order_status,keyword_based,high
Syal Musim Dingin Arctic Bliss Penuh Gaya ready stock,product_stock,keyword_based,clean
proses refund brp lama please,out_of_scope,keyword_based,high
Halo bisa dapet jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_stock,keyword_based,high
misi pakai apa bsa makasih,payment_info,generic,medium
berapa harga kaus kaki campuran wol arctic warmth,product_price,keyword_based,low
Hi kena brapa paket aksesori musim dingin arctic frost ya,product_price,keyword_based,medium
Totlanya berapa,product_price,keyword_based,low
Ada cicilan ga,payment_info,keyword_based,low
Sisa berapa uniit jaket pufffer pria omniheat solid bertudung-biru-kuning-l,product_stock,keyword_based,medium
bisa ga,out_of_scope,ambiguous,clean
Halo stoknya berapa dong,product_stock,hard_negative,medium
Ini berapa ya,product_price,keyword_based,high
Eh bisa dapet omniheat men's solid hooded puffer jacket-blue-green-l ??,product_stock,generic,medium
btw transfer gimana makasih,payment_info,keyword_based,high
Spesifikasi arctic frost winter accessories,product_description,keyword_based,medium
ad update pesanan nomor 555,order_status,keyword_based,high
Harga refund,out_of_scope,hard_negative,clean
syal musim dingin arctic bliss penuh gaya ready stock,product_stock,keyword_based,clean
ready stock kupluk rajut unisex arctic cozy,product_stock,hard_negative,low
Yang emm ready apa aja,product_stock,keyword_based,medium
kena berapa sarung tangan musim dingin arctic layar sentuh,product_price,keyword_based,clean
btw status refund sih,out_of_scope,hard_negative,low
Omniheat men's solid hooded puffer jacket-blue-green-m berapa,product_price,keyword_based,clean
halo alamat toko dimana makasih,out_of_scope,keyword_based,low
Halo kok lama ya ya,order_status,generic,medium
Price arctic frost winter accessories bundle,product_price,keyword_based,clean
Mau tau harga,product_price,hard_negative,low
bisa dicuci ga kaus kaki campuran wol arctic warmth,product_description,keyword_based,low
Lewat mana,payment_info,generic,high
btw omniheat men's solid hooded puffer jacket original ga pls,product_description,generic,clean
Jaket puffer pria omniheat solid bertudung-biru-kuning-m udah ready,product_stock,hard_negative,low
Harga promo,product_price,hard_negative,clean
info lengkap Kupluk Rajut Unisex Arctic Cozy,product_description,hard_negative,clean
mau ya info tentang OmniHeat Men's Solid Hooded Puffer Jacket,product_description,keyword_based,medium
ada ukuran apa OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-M,product_description,keyword_based,high
eh bisa beli kupluk rajut unisex arctic cozy thx,product_stock,keyword_based,medium
accept virtual account,payment_info,generic,medium
Cocok ga omniheat men's solid hooded puffer jacket-blue-green-m,product_description,generic,low
admin unitnya brapa thanks,product_stock,hard_negative,medium
ready transfer sekanag,payment_info,keyword_based,medium
import atau lokal omniheat men's sloid hooded puffer jacket-blue-green-m,product_description,generic,medium
transfer gimana makasih,payment_info,keyword_based,medium
bos bisa dicuci ga jaket puffer pia omniheat hmm solid bertudung-biru-kuning-m deh,product_description,keyword_based,high
hai ready kirim Kaus Kaki Campuran Wol Arctic Warmth ?,product_stock,hard_negative,low
btw tersedia omiheat men''s solid hooded puffer jacket ga ya kak,product_stock,keyword_based,high
Min ekonomsi ga thanks,product_price,generic,high
halo bisa beli syal musim dingin arctic bliss penuh gaya thanks,product_stock,keyword_based,medium
Arctic frost winter accessories sih ada diskon ga,product_price,keyword_based,medium
Halo pas di kantong ga min,product_price,generic,medium
sisa berapa unit OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-M,product_stock,keyword_based,low
abis belum Syal Musim Dingin Arctic Bliss Penuh Gaya,product_stock,generic,clean
Sisa berapa unnit omniheat men's solid hooded ppuffer jacket-blue-green-l,product_stock,keyword_based,medium
berat Paket Aksesori Musim Dingin Arctic Frost berapa,product_description,keyword_based,medium
status order 456,order_status,keyword_based,medium
masih diproses ya,order_status,generic,clean
Gan ready transfer sekarang deh,payment_info,keyword_based,high
kak gimana kabar pesanan makasih,order_status,keyword_based,medium
eh jaket puffer pria omniheat solid bertudung-biru-kuning-l masih ad min,product_stock,keyword_based,high
stok arctic bliss stylish winter scarf ada,product_stock,keyword_based,clean
bisa beli Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M,product_stock,keyword_based,clean
hi ada sle ga deh,product_price,keyword_based,medium
hi mau tau harga pls,product_price,hard_negative,clean
stokknya berapa ya,product_stock,hard_negative,low
Stok arctic frost winter accessories bundle ada,product_stock,keyword_based,low
misi ini brp deh ya please,product_price,keyword_based,high
Min ppilihan apa saja makasih,payment_info,generic,medium
kapan nyampe ya,order_status,generic,low
admin per stok berapa please,product_stock,hard_negative,low
Kapan nih nyampe ya,order_status,generic,medium
hi yang ready emm apa aja please,product_stock,keyword_based,high
ordr saya gimana,order_status,hard_negative,low
masuk kapan jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_stock,hard_negative,low
caranya gimana,payment_info,generic,clean
hai barang cacat min,out_of_scope,keyword_based,high
Hai,out_of_scope,ambiguous,clean
Min barang rusak pls,out_of_scope,keyword_based,high
bos ada promo Arctic Bliss Stylish Winter Scarf pls,product_price,keyword_based,high
bisa dapet Kupluk Rajut Unisex Arctic Cozy,product_stock,keyword_based,low
bisa pake gopay ga,payment_info,keyword_based,clean
yg dibeli tadi pagi,order_status,generic,medium
bos info arctic frost winter accessories ya kak,product_description,keyword_based,low
cara nya gmn ya,payment_info,generic,low
ad ga,out_of_scope,ambiguous,low
ready ga paket aksesori musim dingin arcitc frost,product_stock,keyword_based,high
gimana syal musim dingin arctic bliss penuh gaya,product_description,hard_negative,low
order ORD123 gimana statusnya,order_status,keyword_based,high
ready kirim ga order saya,order_status,keyword_based,medium
info lengkap OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L,product_description,keyword_based,clean
tukar barang,out_of_scope,keyword_based,clean
stok baru kpan,product_stock,hard_negative,medium
Arctic Frost Winter Accessories ada diskon ga,product_price,keyword_based,low
gimana sih omniheat men's solid hooded puffer jacket-blue-green-l,product_description,keyword_based,low
kapan,out_of_scope,ambiguous,clean
masih bisa dibeli paket aksesori musim dingin arctic frost,product_stock,generic,clean
ready stock Arctic Frost Winter Accessories Bundle,product_stock,keyword_based,medium
murahan ga Paket Aksesori Musim Dingin Arctic Frost,product_price,generic,low
halo mau komplain sih,out_of_scope,keyword_based,high
Mau komplaini,out_of_scope,keyword_based,high
bisa kan transfer bank,payment_info,keyword_based,medium
admin ada promo pembayaran,payment_info,keyword_based,medium
eh yang kemarin udah dikirim belum ya,order_status,generic,medium
bisa bayar linkaja,payment_info,keyword_based,clean
ukuran arctci eh frost winter accessories berapa,product_description,keyword_based,medium
Min per pcs brapa makasih,product_price,hard_negative,low
lagi promo ga omniheat men's solid hooded puffer jacket-blue-green-m,product_price,generic,high
bisa dapet Sarung Tangan Musim Dingin Arctic Layar Sentuh,product_stock,generic,high
halo sampai mana ya ?,order_status,generic,high
min arctic frost winter accessories bundle kayak gimana thanks,product_description,generic,medium
Omniheat men's solid hooded puffer jacket murah ga,product_price,generic,low
mau tau harga Arctic Frost Winter Accessories Bunlde,product_price,keyword_based,medium
Bisa bayar ovo,payment_info,keyword_based,low
