text,intent,noise_level
orderan saya gimana,order_status,medium
Bisa return barang ga,out_of_scope,low
sis pesanan nomor 555 udah sampai mana ya kak,order_status,medium
mas tersedia omniheat ga dong,product_stock,low
kak permisi apakah stok kaki masih tersedia dong,product_stock,medium
Ada cicilan ga,payment_info,low
bisa dijelasin tentang produk jaket puffer pria omniheat solid bertudung-biru-kuning-l dong,product_description,low
pake cimb bs?,payment_info,low
status pengiriman 789,order_status,low
min lokasi warehouse thanks,out_of_scope,high
Hai udah dikirim blm pesanan 999 ya kak,order_status,low
kpn psnan #99 sampai,order_status,extreme
mba apa kabar thx,out_of_scope,medium
proses refund berapa lama,out_of_scope,low
Ganti ukuran,out_of_scope,low
Permisi halo min mau tanya dong psnan saya nomor 67890 itu udah sampai mana ya pls,order_status,low
mba permisi apakah stok jacket-blue-yellow-m masih tersedia please,product_stock,extreme
min byr dmn ?,payment_info,medium
Cek psnan psnan 999,order_status,low
Kamu bot ya,out_of_scope,extreme
info produk omniheat men's solid hooded puffer jacket-blue-yellow-l,product_description,medium
Dimana pesanan saya,order_status,medium
Permisi mau nanya harga utk arctic frost winter accessories bundle brp ya,product_price,low
Kleebihan penhu,product_description,medium
gan harga campuran berapa tolong,product_price,high
sis aksesori kosong ga ?,product_stock,medium
kisran harga stylish,product_price,high
bundle kosong ga,product_stock,medium
admin edit pesanan makasih,out_of_scope,low
bertudung kosong ga,product_stock,high
Mau kembalikan barang,out_of_scope,high
bang info produk sarung min,product_description,medium
selamat siang admin saya mau cek status pesanan nomor ord-001,order_status,low
Bisa return barang ga,out_of_scope,medium
Kak brp hrg rajut ya,product_price,high
Cara bayar orderan,payment_info,low
Selamat siang admin saya mau cek status pesanan nomor 123,order_status,low
Mba kak mau tanya pesanan saa dengan nomor ord-001 sudah diproses belum ya min,order_status,medium
range hrg terhubung,product_price,high
hai halo admin mau nanya pembayaran bisa pakai apa saja ya dong,payment_info,extreme
mas bertudung-biru-hijau-m murah ga tolong,product_price,low
admin jacket-blue-yellow-m gmn sih please,product_description,high
permisi apakah stok hooded masih tersedia,product_stock,medium
bayar pake apa sih,payment_info,low
kak warna gloves ada apa aja tolong,product_description,medium
Estimasi pengiriman order pesanan 999,order_status,low
Metode byr apa,payment_info,medium
Selamat siang admin sy mau cek status psnan nomor 67890,order_status,low
Selamat siang admin saya mau cek status pesanan nomor 99,order_status,medium
Range harga dekapan,product_price,low
Pake cicilan bs?,payment_info,low
terimma linkaja tidk,payment_info,medium
byr dmn,payment_info,medium
halo,out_of_scope,low
mba jacket-blue-yellow-l ukurannya apa aja thx,product_description,extreme
halo cara refund gimana,out_of_scope,low
Nomoor tleepon toko,out_of_scope,high
Halo admin mau nanya pembayaran bisa pakai apa saja ya,payment_info,medium
spesifikasi bertudung-biru-hijau-l,product_description,medium
ad stok Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M g,product_stock,high
misi brg saya udah dikirim belum ?,order_status,low
Permisi warna dengan ada apa aja,product_description,low
Review paket,product_description,low
Stok wool ada,product_stock,medium
permisi hrg connected brp tolong,product_price,extreme
mau kembalikan barang,out_of_scope,low
kalo mau bayar pake kartu debit bisa ga min,payment_info,low
kisaran harga musim,product_price,medium
bs ambil langsung ga,out_of_scope,medium
Admin harga experience berapa thanks,product_price,medium
sis paket saya sudah smp mana ?,order_status,extreme
byr dmn,payment_info,high
permisi stock Paket Aksesori Musim Dingin Arctic Frost berapa pls,product_stock,high
permisi kak orrderan saya yang 67890 kok belum dateng,order_status,extreme
status pengiriman 99,order_status,high
min bisa dijelasin tentang produk bertudung-biru-hijau-m dong ??,product_description,low
test,out_of_scope,medium
mau cek status pesanan,order_status,medium
Permisi embrace kyk gmn dong,product_description,medium
kak bundle ukurannya apa aja please,product_description,medium
priccee kenyamanan,product_price,high
mau tanya dong harga Syal Msuim Dingin Arctic Bliss Penuh Gaya yang ada di toko beraap ya,product_price,medium
kak boelh tau spesiifkasi chill tidak,product_description,medium
tersedia tangan ga,product_stock,medium
tukar bar@ng,out_of_scope,medium
spesifikasi jaket puffer pria omniheat solid bertudung-biru-hijau-l pls,product_description,medium
hai mau cek status pesaanan pls,order_status,medium
spec jaket puffer pria omniheat solid bertudung-biru-hijau-l,product_description,low
misi kisarran harga campuran ya kak,product_price,high
opsi pembaaran,payment_info,medium
ebrsama brp duit,product_price,high
Permisi estimasi pengiriman order 1 ?,order_status,low
hi kamu bot ya thx,out_of_scope,high
tertandingi kyk gmn,product_description,medium
halo ktersediaan accessories pls,product_stock,high
Orderan gw kok ga nyampe please,order_status,high
Permisi warna puffer ada apa aja pls,product_description,low
halo,out_of_scope,medium
lokasi warehouse,out_of_scope,high
mas order gue #1 mana thx,order_status,medium
Selamat siang admin saya mau cek status pesanan nomor 789,order_status,high
bos cara bayar gmn pls,payment_info,high
Mau tau lebih detail tentang arctic warmth wool blend socks,product_description,low
connected ready ga,product_stock,medium
Mba cara bayar gmn thx,payment_info,medium
pesanan 789 udah sampai mana,order_status,medium
kak arctic frost wintre accessoris bundle murah ga ??,product_price,extreme
alamat kantor,out_of_scope,medium
bayar pake apa sih,payment_info,high
Permisi test ?,out_of_scope,extreme
Metode paymeent,payment_info,medium
min brp bertudung makasih,product_price,extreme
Bos mnaa nih orderan gw ?,order_status,medium
Alamat toko dimana,out_of_scope,low
kak boleh tau spesifikasi bertudung-biru-kuning-l tidak,product_description,medium
Spec comfort,product_description,low
Campuran kyk gmn,product_description,low
Admin kak omniheat men's solid hooded puffer jacket-blue-green-l masih ada ga stkonya ?,product_stock,extreme
terima cod gak,payment_info,low
bahan bertudung-biru-hijau-m apa,product_description,high
Pakee gopay bs?,payment_info,high
harga unmatched sekarang,product_price,low
ada toko offline,out_of_scope,low
Misi permisi kak orderan saya yang nomor 555 kok belum dateng ya kak,order_status,high
mas cuaca hari ini gimana makasih,out_of_scope,medium
kak kamu bot ya makasih,out_of_scope,extreme
gloves ready stock,product_stock,medium
Tolong jelasin tentang kupluk dong,product_description,low
bang ada cicilan ga,payment_info,medium
mas bisa ambil langsung ga ?,out_of_scope,extreme
misi terima kartu kreidt tidak,payment_info,high
Hai orderan gw kok ga nyampe please,order_status,medium
Admin permisi kak untuk pembayaran tersedia metode apa saja thanks,payment_info,high
mau tanya apakah OmniHeeat Men's Solid Hooded Puffer Jacket-Blue-Green-L masih trsedia stoknya,product_stock,medium
mas bayar pak apa makasih,payment_info,medium
bersama harganya berapa,product_price,medium
hai bisa dijelasin tentang produk cozy dong ya,product_description,high
hi kalo mau bayar pake transfer bank bs ga min pls,payment_info,high
Mau tanya apakah comfort masih tersedia stoknya,product_stock,low
permisi cek pesanan id 7788 ?,order_status,extreme
jacket-blue-yellow-m habis belum,product_stock,low
hi knit bagus ga thanks,product_description,low
gan terima kartu debit tidak ??,payment_info,high
Bayar pake apa sih,payment_info,low
Stock dengan berapa,product_stock,medium
metode byr apa,payment_info,medium
admin bs ambil alngsung ga,out_of_scope,medium
bos chilly brp sih tolong,product_price,high
mau tanya apakah unmatched masih tersedia stoknya,product_stock,low
Paket aksesori musim dingin arctic frost ready stock,product_stock,medium
sis gaya kosong ga ya kak,product_stock,medium
Status pengiriman 12345,order_status,low
Halo udah dikirim blm 123,order_status,medium
halo bahan dekapan apa ya,product_description,medium
gan bahan warmth apa ya,product_description,high
Warna omniheat men's solid hooded puffer jacket-blue-green-l ada apa aja,product_description,medium
cek resi ord123,order_status,medium
sis barang saya udah dikirim belum makasih,order_status,high
Permisi kak untuk pembayaran tersedia metode apa saja,payment_info,extreme
bang support ewallet ga ?,payment_info,low
ada cicilan ga,payment_info,medium
Permisi kak orderan saya yang pesanan 999 kok belum dateng,order_status,medium
sis omniheat ready stock ?,product_stock,medium
halo min mau nanya hadapi masih ready stock tidak ya,product_stock,medium
cek resi #1,order_status,medium
hrg blend brp,product_price,medium
Dinginnya ready?,product_stock,medium
pembayaran via apa,payment_info,medium
OmniHeat Men's Solid Hooded Puffer Jacket ready?,product_stock,medium
Braang rusak,out_of_scope,medium
Hrg jacket sekarang,product_price,medium
Hi harga campuran brp thx,product_price,medium
Order gue #99 mana,order_status,medium
bs csah on delivery g,payment_info,low
Bos biiisa dijelasin tentang produk accessories dong ya kak,product_description,high
support ewallet ga,payment_info,low
admin Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-L ready?,product_stock,extreme
Mau kerraj disini,out_of_scope,medium
har6a style beraapa,product_price,extreme
tersedia kaaki ga,product_stock,extreme
cuaca hari ini gimana,out_of_scope,medium
Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M msh ad?,product_stock,low
Sis dtl layar ??,product_description,low
bisa bayar pakai bayar di tempat,payment_info,low
ordean saya gimanna,order_status,high
byr dmn,payment_info,high
tracking pesanan ORD-001 please,order_status,low
biaaya Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-L,product_price,medium
permisi kak orderan saya yang pesanan 999 kok belum dateng,order_status,low
mau tanya dong harga jaket yang ada di toko berapa ya,product_price,low
hai kejsaama bisnis thx,out_of_scope,medium
Batalkan order,out_of_scope,low
permisi halo min mau nanya syal masih ready stock ga ya min,product_stock,high
Misi omniheat men's solid hooded puffer jacket gmn sih please,product_description,medium
gan byr dmn makasih,payment_info,high
Cara abyar order4n,payment_info,high
bos stock OmniHeat Men's Solid Hooded Puffer Jacket brp ya,product_stock,low
mba bs transfer bank,payment_info,high
hi bisa ddijelasin tentag produk dingin dong dong,product_description,extreme
mba bersama kyk gmn min,product_description,extreme
Min kisaran harga bertudung-biru-hijau-l ya kak,product_price,medium
misi omniheat men's solid hooded puffer jacket-blue-yellow-m sold out?,product_stock,high
wool gmn sih,product_description,medium
hi tolong jelasin tentang bergaya donng ya,product_description,extreme
Stok arctic abis blm,product_stock,low
spec unisex,product_description,medium
brp arctic,product_price,low
Misi terima cimb gak min,payment_info,medium
mas berapa harga bertudung-biru-hijau-l makasih,product_price,medium
accept gopay ga,payment_info,low
bisa ambil langsung ga,out_of_scope,low
duit dengan,product_price,low
Gan order pesanan 999 uuddah diproses belum ya kak,order_status,medium
alamat kantor,out_of_scope,medium
halo admin mau nanya pembayaran bisa pakai apa saja ya,payment_info,high
kualitas jelek,out_of_scope,medium
mau tau lebih detail etntang rfost,product_description,medium
Permisi dengan mahal ga makasih,product_price,medium
Mana nih orderan gw,order_status,low
ketersedian Arcitc Touchscreen Winter Gloves,product_stock,medium
price bundle,product_price,low
min permisi mau nanya harga untuk dengan berapa ya thanks,product_price,high
hai,out_of_scope,medium
kecewa samma pelayanan,out_of_scope,low
Brg ord001 dmn,order_status,low
Dut jacket-blue-ylelow-l,product_price,low
Permisi apakah stok omniheat men's solid hoodeed puffer jackett masih tersedia,product_stock,low
Gan jaket puffer pria omniheat solid bertudung-biru-kuning-m mahal ga thanks,product_price,low
Misi pkaet sy suddah sampai mana,order_status,extreme
Kisaran harga cozy,product_price,low
min pake bca bs?,payment_info,extreme
Admin kak mau tanya pesanan saya dengan nomor #99 sudah diproses belum ya ya kak,order_status,medium
tersedia Kupluk Rajut Unisex Artic Cozy ga,product_stock,high
produk tidak sesuai,out_of_scope,medium
uadh dikirim blm nomor 555,order_status,medium
udah dikirim blm order-123,order_status,low
hai pake cod bs?,payment_info,medium
order ORD123 udah diproses blm,order_status,extreme
accept bayar di tempat ga pls,payment_info,medium
Kisaran harga omniheat men's solid hooded puffer jacket-blue-yellow-m,product_price,low
byr dmn,payment_info,low
permisi kak untuk pembayaran tersedia metode apa saja,payment_info,medium
Selamat siang admin saya mau cek status pesanan nomor 123,order_status,high
Mau kerja disini,out_of_scope,medium
uangg saya kapan dikebmalikan,out_of_scope,low
admin blend mmur@h ga thx,product_price,medium
Nomor telepon toko,out_of_scope,medium
bbiaya kaki,product_price,high
tangan gmn sih,product_description,low
bs mandiri g,payment_info,high
Dimana pesanan saya,order_status,low
kak available connected thx,product_stock,high
proses refund berapa lama,out_of_scope,medium
permisi duit hooded thanks,product_price,low
metode payment,payment_info,medium
Min kualitas jelek makasih,out_of_scope,medium
bisa return barang ga dong,out_of_scope,medium
frost harganya berapa,product_price,medium
Available bertudung,product_stock,medium
produk tidak sesuai,out_of_scope,medium
terima jenius tidakk,payment_info,high
program affiliate,out_of_scope,low
permisi paket sya sudah sampai mana dong,order_status,high
accept credit card ga,payment_info,low
gan deeskripsi bergaya ya kak,product_description,high
omniheat men's solid hooded puffer jacket-blue-yellow-l bagus ga,product_description,medium
dimana pesanan saya,order_status,medium
Solid ready stock,product_stock,high
barang rusak,out_of_scope,low
cara bayar gimana thanks,payment_info,low
terima dana ga,payment_info,medium
Lokasi warehouse,out_of_scope,medium
hi sisa stok scarf please,product_stock,extreme
permisi cancel pesanan min,out_of_scope,extreme
Kak arctic touchscreen winter gloves kosong ga,product_stock,extreme
Price accessories,product_price,low
Men's gmn sih,product_description,high
Produk tidak sesuai,out_of_scope,high
kak boleh tau spesifikasi socks tidak,product_description,low
Kelebihan sarung,product_description,medium
psnan gw 456 kemana,order_status,medium
Cara bayar orderan,payment_info,low
Mas bisa ambil langsung ga pls,out_of_scope,medium
Accept kredivo ga,payment_info,low
boleh tau harga bersama tidak,product_price,low
cuaca hari ini gimana,out_of_scope,medium
info produk omniheat men's solid hooded puffer jacket-blue-green-m,product_description,low
Kak rasakan masih ada ga stoknya,product_stock,low
Boleh tau harga omniheat men's solid hooded puffer jacket tidak,product_price,medium
Kelebihan hangat,product_description,low
pricce hangat,product_price,medium
status order nomor 555,order_status,low
Kisaran harga bertudung-biru-kuning-l,product_price,extreme
lowongan kerja ada ga,out_of_scope,medium
warna dengan ada apa aja,product_description,medium
Brp syal,product_price,high
ganti ukuran dong,out_of_scope,medium
Cek pesanan nomor 555,order_status,high
kak mau tanya apakah style masih tersedia stoknya makasih,product_stock,high
spec hadapi,product_description,medium
Halo mau tanya dong hrg kupluk rajut unisex arctic cozy yg ad di toko berapa ya tolong,product_price,high
Bang metode payment ??,payment_info,medium
mau cek status pesanan,order_status,low
Tetap berapa duit,product_price,low
boleh tau hara embrace tdak,product_price,low
mba biaya wool ya,product_price,high
Pesanan gw ord001 kemana,order_status,low
halo lacak pesanan ord-001 thx,order_status,high
hrg omniheat men's solid hooded puffer jacket-blue-green-l sekarang,product_price,extreme
Edti pesanan,out_of_scope,low
Halo admin mau nanya pembayaran bisa pakai apa saja ya,payment_info,extreme
halo tetap ready stock makasih,product_stock,high
kualitas jelek,out_of_scope,medium
admin apa kabar ya,out_of_scope,high
permisi apakah stok rasakan mas!h tersedia,product_stock,high
terima kredivoo tidakk,payment_info,low
stock haapi berapa,product_stock,high
Ubah alamat pengiriman,out_of_scope,low
Min mau komplain,out_of_scope,medium
Bang pake virtual account bs?,payment_info,medium
Hi test ?,out_of_scope,low
Kit masih ada,product_stock,low
mas mau tanya dong harga hangat yang ada di toko berapa ya ya kak,product_price,extreme
socks msh ad?,product_stock,medium
mau refund,out_of_scope,low
lokasi warehouse,out_of_scope,medium
Sis campuran terbuat d@ri apa ya kak,product_description,extreme
hai deskripsi jaket ya,product_description,low
Bos opsi pembayaran pls,payment_info,high
Bang kehangatan ukurannya apa aja makasih,product_description,high
pesanan ord123 udah sampai mana,order_status,medium
sis bs ambil langsung ga makasih,out_of_scope,medium
Arctic touchscreen winter gloves msh ad?,product_stock,medium
paket saya sudah sampai mana,order_status,medium
bayar pake apa sih,payment_info,medium
lacak pesanan id 7788,order_status,high
stock dengan berapa,product_stock,low
kak terima va tidak thanks,payment_info,medium
kak barang rusakk please,out_of_scope,extreme
mau tanya apakah jaket puffer pria omniheat solid bertudung-biru-kunning-l masih tersedia soknya,product_stock,high
min perm1si kak untuk pembayaran tersedia metode apa saja ya,payment_info,extreme
admin halo admin mau nanya pembayaran bisa pakai apa saja ya dong,payment_info,low
permisi metode byr apa ??,payment_info,medium
jam buka toko,out_of_scope,low
Admin pross refund berapa lama ya kak,out_of_scope,high
deskripsi jacket-blue-yellow-m,product_description,low
Ketersediaan tangan,product_stock,low
hai Arctic Warmth Wool Blend Socks bagus ga,product_description,low
Tolong jelasin tentang jacket-blue-yellow-m dong,product_description,medium
bs bayar di tempat g,payment_info,medium
Halo berapa harga omniheat ya kak,product_price,high
hi pake kredivo bs?,payment_info,medium
Selamat siang admin saya mau cek status pesanan nomor #12345,order_status,extreme
bayar pake apa sih,payment_info,high
Mas bersama murah ga min,product_price,high
hai barang rusak min,out_of_scope,medium
Paket saya sudah sampai mana,order_status,medium
Mas cara bayar gimana tolong,payment_info,high
Fitur hangat,product_description,medium
Bos alamat kantorr ya kak,out_of_scope,high
Jaket puffer pria omniheat solid bertudung-biru-kuning-m ready ga,product_stock,low
Bos order #12345 udah diproses belum min,order_status,medium
Bayar pake apa,payment_info,low
Kak harga omniheat men's solid hooded puffer jacket-blue-yellow-m berapa thanks,product_price,low
jacket-blue-yellow-l ready ga,product_stock,medium
Kak prrogram afffiliate makasih,out_of_scope,medium
Mau cek status pesanan,order_status,low
berapa hrg jacket-blue-yellow-m,product_price,medium
Permisi ad stok sarung tangan musim dingin arctic layar sentuh g ??,product_stock,low
0psi pembayyaran,payment_info,extreme
Terhubung brp sih,product_price,low
order gue nomor 123 mana,order_status,low
Bergaya ukurannya apa aja,product_description,high
edit pesanan,out_of_scope,extreme
mba halo admin mau nanya pembayaran bisa pakai apa saja ya thx,payment_info,extreme
estimasi pengiriman order 456,order_status,medium
Halo mana nih orderan gw pls,order_status,high
permisi support ewallet ga ya,payment_info,high
siapa kamu,out_of_scope,low
edit pesanan,out_of_scope,extreme
cuaca hari ini gimana,out_of_scope,medium
Metode byr apa,payment_info,medium
kak kamu bot ya ?,out_of_scope,high
accessories ready ga,product_stock,medium
halo kak mau tanya pesannan saya dengan nomor nomor 123 sudah diproses belum ya thanks,order_status,high
permisi kak orderan saya yang 1 kok belum dateng,order_status,low
Mba jacket brp sih ya kak,product_price,high
ad stok socks g,product_stock,medium
musim bagus ga,product_description,low
Kerjaama bisnis,out_of_scope,medium
halo fitur jacket-blue-yellow-m makasih,product_description,medium
tolong jelasin tentang syal dong,product_description,low
spec chill,product_description,low
brp syal musim dingin arctic bliss penuh gaya,product_price,medium
kak kecewa sama pelayanan pls,out_of_scope,medium
stok dinginnya ada,product_stock,high
test,out_of_scope,low
tersedia tertandingi ga,product_stock,medium
Kak gloves masih ada ga stoknya,product_stock,high
dimana pesanan saya,order_status,medium
kak boleh tau spesifikasi embrace tidak,product_description,low
Bs ovo g,payment_info,low
Kak kok lama bgt order 456 ?,order_status,medium
kelebihan rasakan,product_description,low
Bang spec jacket-blue-green-m pls,product_description,low
gan bayar pake apa sih makasih,payment_info,extreme
kelebihan bliss,product_description,low
berapa harga men's,product_price,low
Edit psnan,out_of_scope,low
uang sy kpn dikembalikan,out_of_scope,medium
Tambah item ke psnan,out_of_scope,low
biaya omniheat,product_price,medium
sarung tangan musim dingin arctic layar sentuh mahal ga,product_price,medium
Kisaran hrg jacket-blue-green-l,product_price,extreme
kualitas jelek,out_of_scope,low
misi ganti ukuran tolong,out_of_scope,low
mau tanya dong harga OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Yellow-M yang ada di toko berapa ya,product_price,low
Misi range harga chilly,product_price,low
sis bi5a transfer bank pls,payment_info,high
embrace sold out?,product_stock,medium
sal raedy ga,product_stock,medium
Order ord001 udah diproses belum,order_status,low
Admin permisi mau nanya harga untuk kaus kaki campuran wol arctic warmth berapa ya ??,product_price,high
batalan oredr,out_of_scope,high
tracking pesanan nomor 123,order_status,low
admin warna rajut ada apa aja ?,product_description,medium
Terima bayar di tempat tidak,payment_info,low
terhubung ready ga,product_stock,medium
spesifikasi bertudung-biru-kuning-m,product_description,low
Bisa return barang ga,out_of_scope,low
mas tersedia OOmniHeat Men''s Solid Hooded Puffer Jacket-Blue-Yellow-M ga ya,product_stock,extreme
detail beanie,product_description,low
Bos bahann gaa apa tolong,product_description,low
Kupluk Rajut Unisex Arctic Cozy brp duit,product_price,extreme
Mau cek status pesanan,order_status,low
mas proses refund brp lama ya kak,out_of_scope,extreme
jacket mahal ga,product_price,medium
orderan saya gmn,order_status,low
bang kalo mau bayar pake ovo bs ga min please,payment_info,extreme
misi terima bca gak min,payment_info,medium
permisi biaya jakt puffer priia omniheat solid bertudung-biru-hijau-l dong,product_price,medium
sisa stok bertudung-biru-hijau-m,product_stock,low
Bang hai ya kak,out_of_scope,high
terima transfer bank tidak,payment_info,low
barang cacat,out_of_scope,medium
Aksesori brp sih,product_price,low
metode payment,payment_info,high
tolong jelasin tentang tangan dong,product_description,medium
tambah item ke pesanan,out_of_scope,high
Trsdeia style ga,product_stock,high
Touchscreen brp sih,product_price,low
ketersediaan puffer,product_stock,low
mas range hraga jaket thx,product_price,extreme
spec sarung tangan musim dingin arctic layar sentuh,product_description,medium
price chill,product_price,low
Hi stock tetap berapa ya,product_stock,medium
bs credit card g,payment_info,low
Status pengiriman 12345,order_status,low
kak sarung sold out?,product_stock,low
range haga bertudung-biru-kuning-l,product_price,high
kupluk rajut unisexx arctic cozy terbuat dari apa tolong,product_description,extreme
Kak price socks ya kak,product_price,low
dimana pesanan saya,order_status,low
min cek rresi psnan 999 thx,order_status,medium
opsi pembayaran,payment_info,low
jacket-blue-green-l berapa duit,product_price,low
cara bayar gimana,payment_info,medium
Arctic bliss stylish winter scarf sold out?,product_stock,medium
Bos halo admin mau nanya pembayarn bisa pakai apa saja ya,payment_info,extreme
Maaf ganggu mau cek status order nomor 123 dong,order_status,medium
Sis gantti ukuran thanks,out_of_scope,extreme
deskripsi jaket,product_description,low
Alamat toko dimana,out_of_scope,low
style msh ad?,product_stock,high
alamat kantor,out_of_scope,low
stok chill ada,product_stock,low
Info produk paket,product_description,low
Ada cicilan ga,payment_info,low
hagnat gmn sih,product_description,low
Orderan gw kok ga nyampe,order_status,low
Min tamah item ke pesanan thx,out_of_scope,extreme
permisi Jaket Puffer Pria OmniHeat Solid Bertudung murah ga,product_price,low
hi style baagus ga tolong,product_description,extreme
mba bahan Kupluk Rajut Unisex Arctic Cozy apa thanks,product_description,medium
Gan permisi kak untuk pembayaran tersedia metode apa saja please,payment_info,medium
socks oksong ga,product_stock,high
Kak available hooded dong,product_stock,high
kak kerjasama bisnis ya kak,out_of_scope,high
Terima qris gak,payment_info,medium
duit bergaya,product_price,medium
rajut kyk gmn,product_description,medium
misi udah dikirim blm pesanan 999 ya,order_status,extreme
Hi kaus kki campuran wol arctic warmth kosong ga makasih,product_stock,high
Permisi terima dana gak ya,payment_info,low
ada cicilan ga,payment_info,low
info produk chill,product_description,medium
Duit kaus kaki campuran wol artic wamrth,product_price,extreme
Hai info produk gloves,product_description,high
lowongan kerja ada ga,out_of_scope,low
bang udah ddikirim blm ord1233 tolong,order_status,low
Bos barang tidak sesuai mau tukar ya kak,out_of_scope,medium
mba kelebihan jaket puffer pria omniheat solid bertudung-biru-hijau-m ya,product_description,low
Kok lama bgt order 789,order_status,low
Stok arctic frost winter accessories bundle abis blm,product_stock,medium
Sis metode payment ya kak,payment_info,high
halo warna cozy ada apa aja makasih,product_description,medium
permisi kak untuk pembayaran tersedia metode apa saja,payment_info,medium
tracking pesanan 1,order_status,medium
dekapan ukurannya apa aja,product_description,low
sis spec paket aksesori musim dingin arctic frost thx,product_description,high
min cek epsanan ORD123 pls,order_status,medium
harga connected sekarang,product_price,medium
halo pembayaran via apa min,payment_info,high
kak sarung masih ada ga stoknya,product_stock,medium
kak mna nih orderan gw ??,order_status,high
tangan murah ga,product_price,low
permisi deskripsi layar please,product_description,low
available rasakan,product_stock,high
Harga bend berapa,product_price,medium
Batalkan order,out_of_scope,medium
sis orderan gw kok ga nyampe tolong,order_status,high
Tracking pesanan 12345,order_status,low
Mana nih orderan gw,order_status,low
Cara bayar orderan,payment_info,high
detail OmniHeat Men's Solid Hooded Puffer Jacket,product_description,low
admin dimaa pesanan saya tolong,order_status,extreme
mau tanya dong harga paket yg ad di toko berapa ya,product_price,medium
Paket saya sudah sampai mana,order_status,low
Status pengiriman 123,order_status,low
Halo selamat siang admin sy mau cek status p$nan nomor order-123 dong,order_status,extreme
